iter	Logloss
0	0.6634046973
1	0.6264348224
2	0.5943254921
3	0.5674359081
4	0.5420204721
5	0.5169068623
6	0.4972553098
7	0.477158213
8	0.4640788877
9	0.4526262671
10	0.4385215945
11	0.4289801993
12	0.4181997408
13	0.4043992205
14	0.3964120508
15	0.3878035507
16	0.380245798
17	0.3721623304
18	0.3647435196
19	0.3585460012
20	0.3496629358
21	0.3438835144
22	0.3377340363
23	0.3323811167
24	0.3262894793
25	0.3202237385
26	0.3170996565
27	0.3125168715
28	0.3066284056
29	0.3008125119
30	0.2952826275
31	0.2920670548
32	0.2876926825
33	0.283717923
34	0.279377883
35	0.2759339868
36	0.2731060555
37	0.2706697045
38	0.267739924
39	0.263321357
40	0.2601629118
41	0.2572497391
42	0.2543740776
43	0.2518823515
44	0.2497487882
45	0.2470605121
46	0.2451571643
47	0.2433187283
48	0.2416402925
49	0.2386180599
50	0.2363457563
51	0.2338639546
52	0.2324367771
53	0.2301018723
54	0.2282904493
55	0.2266077491
56	0.2245071845
57	0.22331596
58	0.2209135226
59	0.219499619
60	0.2177383144
61	0.2156410527
62	0.2135875361
63	0.2121618317
64	0.2103917192
65	0.208965162
66	0.2079413034
67	0.2068050354
68	0.2055291122
69	0.2034750527
70	0.2015725733
71	0.2000472836
72	0.1991575133
73	0.1975175346
74	0.1964275391
75	0.1946579228
76	0.1928217818
77	0.1918393267
78	0.191235426
79	0.1894865269
80	0.1880725612
81	0.1873218102
82	0.1857593195
83	0.1846757284
84	0.1832603206
85	0.1813818459
86	0.1803319512
87	0.1792115312
88	0.1766708498
89	0.1760851232
90	0.174559694
91	0.1736789176
92	0.1726406377
93	0.1720000942
94	0.1705910597
95	0.169863445
96	0.1681505374
97	0.167295673
98	0.1668097023
99	0.1654030715
100	0.164598651
101	0.1636827826
102	0.1628706862
103	0.1619133988
104	0.1605554596
105	0.1598331793
106	0.1587710187
107	0.1580358211
108	0.1570170488
109	0.1565274029
110	0.1554668085
111	0.1541681522
112	0.1538559208
113	0.1524589973
114	0.1517313825
115	0.1501931136
116	0.1491959735
117	0.1487213848
118	0.1476172781
119	0.146387705
120	0.1457949227
121	0.1455159071
122	0.1443821822
123	0.1434103648
124	0.1424979388
125	0.141225055
126	0.1401714852
127	0.1391962563
128	0.1388105997
129	0.1382750534
130	0.138132483
131	0.1368365869
132	0.1365960129
133	0.1354820593
134	0.1347709284
135	0.1338652169
136	0.1336476396
137	0.1329985828
138	0.1325184117
139	0.1312443338
140	0.1304505976
141	0.1296830991
142	0.1290023463
143	0.1279650975
144	0.1267192034
145	0.1258364344
146	0.1256210668
147	0.124349819
148	0.123812218
149	0.1235821964
150	0.1218730492
151	0.1205428907
152	0.1193994507
153	0.1181122152
154	0.117321278
155	0.117048217
156	0.1164602109
157	0.1158419276
158	0.1148772434
159	0.1143524511
160	0.1139348813
161	0.113526321
162	0.1128804432
163	0.1125116891
164	0.1114532967
165	0.1110682604
166	0.1104765559
167	0.1093321389
168	0.1090170387
169	0.1082946421
170	0.1079160644
171	0.1074985876
172	0.1067201645
173	0.1059137515
174	0.1056953368
175	0.105114836
176	0.1047780262
177	0.1040946836
178	0.1037603084
179	0.1025634238
180	0.1022804539
181	0.1016532619
182	0.1013508463
183	0.1011067987
184	0.1007955598
185	0.1003885502
186	0.1003546986
187	0.1002956561
188	0.1000018701
189	0.09981953225
190	0.09963316258
191	0.09891152576
192	0.09849179276
193	0.09799533162
194	0.09784396102
195	0.09735330721
196	0.09646423464
197	0.09582138837
198	0.09522033319
199	0.09408943052
